4, 
0, 179, 44, 
 1.0230, 1.1685, 1.2385, 1.3446, 1.4338, 1.5199, 1.5995, 1.6742, 1.7447, 1.8116, 1.8758, 1.9370, 1.9939, 2.0460, 2.0947, 2.1423, 2.1929, 2.2467, 2.2996, 2.3513, 2.4020, 2.4522, 2.5030, 2.5560, 2.6115, 2.6653, 2.7131, 2.7573, 2.8043, 2.8611, 2.9229, 2.9855, 3.0523, 3.1203, 3.1818, 3.2405, 3.2978, 3.3738, 3.3842, 1.6495, 1.1594, 1.1594, 1.1594, 1.1594, 
 1.0768, 1.2242, 1.2962, 1.4018, 1.4909, 1.5767, 1.6559, 1.7304, 1.8004, 1.8669, 1.9306, 1.9914, 2.0480, 2.1001, 2.1490, 2.1970, 2.2478, 2.3016, 2.3541, 2.4048, 2.4543, 2.5030, 2.5524, 2.6044, 2.6602, 2.7162, 2.7670, 2.8129, 2.8591, 2.9125, 2.9706, 3.0291, 3.0934, 3.1643, 3.2313, 3.2929, 3.3507, 3.4186, 3.2692, 1.4019, 1.1594, 1.1594, 1.1594, 1.1594, 
 1.1145, 1.2597, 1.3323, 1.4375, 1.5265, 1.6119, 1.6909, 1.7651, 1.8349, 1.9011, 1.9645, 2.0250, 2.0813, 2.1332, 2.1823, 2.2304, 2.2815, 2.3354, 2.3878, 2.4382, 2.4870, 2.5348, 2.5830, 2.6340, 2.6894, 2.7463, 2.7987, 2.8462, 2.8929, 2.9454, 3.0019, 3.0575, 3.1172, 3.1874, 3.2592, 3.3239, 3.3856, 3.4540, 3.1317, 1.2818, 1.1593, 1.1594, 1.1594, 1.1594, 
 1.1552, 1.2989, 1.3723, 1.4769, 1.5656, 1.6507, 1.7295, 1.8034, 1.8729, 1.9388, 2.0018, 2.0618, 2.1178, 2.1695, 2.2184, 2.2667, 2.3180, 2.3722, 2.4247, 2.4748, 2.5230, 2.5699, 2.6170, 2.6666, 2.7209, 2.7780, 2.8318, 2.8810, 2.9289, 2.9814, 3.0372, 3.0901, 3.1452, 3.2120, 3.2846, 3.3533, 3.4197, 3.4962, 2.9228, 1.1999, 1.1593, 1.1594, 1.1594, 1.1594, 
 1.1964, 1.3383, 1.4123, 1.5163, 1.6046, 1.6893, 1.7678, 1.8414, 1.9106, 1.9761, 2.0388, 2.0984, 2.1539, 2.2053, 2.2541, 2.3023, 2.3537, 2.4083, 2.4611, 2.5112, 2.5589, 2.6050, 2.6509, 2.6991, 2.7521, 2.8088, 2.8634, 2.9138, 2.9631, 3.0162, 3.0725, 3.1241, 3.1747, 3.2366, 3.3088, 3.3783, 3.4477, 3.5412, 2.6484, 1.1641, 1.1593, 1.1594, 1.1594, 1.1594, 
 1.2385, 1.3786, 1.4532, 1.5565, 1.6445, 1.7287, 1.8068, 1.8801, 1.9489, 2.0141, 2.0765, 2.1356, 2.1906, 2.2415, 2.2900, 2.3381, 2.3896, 2.4445, 2.4977, 2.5479, 2.5955, 2.6409, 2.6858, 2.7325, 2.7839, 2.8397, 2.8944, 2.9455, 2.9958, 3.0499, 3.1074, 3.1595, 3.2077, 3.2631, 3.3329, 3.4016, 3.4703, 3.5793, 2.3500, 1.1591, 1.1595, 1.1594, 1.1594, 1.1594, 
 1.2815, 1.4198, 1.4948, 1.5973, 1.6848, 1.7686, 1.8462, 1.9191, 1.9877, 2.0525, 2.1145, 2.1732, 2.2277, 2.2781, 2.3261, 2.3740, 2.4254, 2.4806, 2.5342, 2.5848, 2.6324, 2.6774, 2.7213, 2.7666, 2.8162, 2.8707, 2.9250, 2.9762, 3.0268, 3.0816, 3.1413, 3.1953, 3.2426, 3.2927, 3.3586, 3.4237, 3.4893, 3.6009, 2.0899, 1.1595, 1.1594, 1.1594, 1.1594, 1.1594, 
 1.3254, 1.4618, 1.5371, 1.6387, 1.7258, 1.8090, 1.8862, 1.9587, 2.0268, 2.0914, 2.1529, 2.2112, 2.2652, 2.3151, 2.3626, 2.4100, 2.4612, 2.5165, 2.5706, 2.6216, 2.6695, 2.7144, 2.7576, 2.8015, 2.8492, 2.9020, 2.9556, 3.0062, 3.0560, 3.1110, 3.1739, 3.2307, 3.2787, 3.3253, 3.3863, 3.4463, 3.5124, 3.6082, 1.8594, 1.1594, 1.1594, 1.1594, 1.1594, 1.1594, 
 1.3701, 1.5045, 1.5802, 1.6809, 1.7674, 1.8500, 1.9267, 1.9987, 2.0664, 2.1306, 2.1917, 2.2496, 2.3031, 2.3524, 2.3994, 2.4462, 2.4969, 2.5523, 2.6067, 2.6583, 2.7067, 2.7518, 2.7945, 2.8371, 2.8829, 2.9339, 2.9864, 3.0360, 3.0852, 3.1391, 3.2028, 3.2647, 3.3148, 3.3603, 3.4161, 3.4715, 3.5421, 3.5681, 1.6580, 1.1594, 1.1594, 1.1594, 1.1594, 1.1594, 
 1.4157, 1.5481, 1.6240, 1.7237, 1.8096, 1.8916, 1.9676, 2.0392, 2.1064, 2.1701, 2.2309, 2.2884, 2.3414, 2.3902, 2.4365, 2.4827, 2.5329, 2.5880, 2.6427, 2.6948, 2.7438, 2.7892, 2.8317, 2.8733, 2.9172, 2.9664, 3.0177, 3.0665, 3.1142, 3.1663, 3.2298, 3.2956, 3.3497, 3.3957, 3.4473, 3.5029, 3.5621, 3.4942, 1.4946, 1.1594, 1.1594, 1.1594, 1.1594, 1.1594, 
 1.4621, 1.5925, 1.6684, 1.7671, 1.8524, 1.9337, 2.0091, 2.0801, 2.1468, 2.2101, 2.2705, 2.3275, 2.3801, 2.4284, 2.4741, 2.5196, 2.5690, 2.6237, 2.6785, 2.7310, 2.7805, 2.8263, 2.8688, 2.9098, 2.9523, 2.9996, 3.0498, 3.0976, 3.1438, 3.1935, 3.2548, 3.3237, 3.3817, 3.4300, 3.4790, 3.5357, 3.5939, 3.3748, 1.3587, 1.1594, 1.1594, 1.1594, 1.1594, 1.1594, 
 1.5093, 1.6376, 1.7136, 1.8112, 1.8958, 1.9763, 2.0512, 2.1215, 2.1877, 2.2504, 2.3103, 2.3669, 2.4191, 2.4670, 2.5121, 2.5569, 2.6054, 2.6596, 2.7143, 2.7667, 2.8165, 2.8628, 2.9056, 2.9465, 2.9881, 3.0338, 3.0826, 3.1295, 3.1742, 3.2213, 3.2791, 3.3487, 3.4104, 3.4625, 3.5119, 3.5690, 3.6303, 3.2124, 1.2541, 1.1593, 1.1594, 1.1594, 1.1594, 1.1594, 
